Seedling,Fungus,Treatment,Root_length_cm,Shoot_length_cm,Root_biomass_wet_mg,Shoot_biomass_wet_mg,Root_biomass_dry_mg,Shoot_biomass_dry_mg,Root_colinization_percent
61,none,0,11,2.8,73.3,18,45.7,16.6,0
62,none,0,8.8,3.3,18.2,8.5,11.6,7.2,0
63,none,0,10.5,3.4,72.7,39.4,33.9,17.3,0
64,none,0,12,3.2,87.2,29.9,24.2,13.7,0
65,none,0,10.1,2.8,49.9,14.8,24.5,12.9,0
66,none,0,6.1,3.3,59.8,14.8,27.7,13.2,0
67,none,0,10.2,3.1,38.8,13.8,19.5,12.6,0
68,none,0,7.1,3.2,65.7,24.7,18.5,20.1,0
69,none,0,11,3.3,117.9,19,39.3,17.3,0
70,none,0,10.1,3.5,113.1,18.2,41.9,13.7,0
71,none,11.4,7.6,2.6,51.4,17.4,13.4,8,0
72,none,11.4,6,2.9,24.8,7,12,6.7,0
73,none,11.4,9.7,2.3,69.1,10.8,21.8,10.1,0
74,none,11.4,9.9,3.1,164.3,42.5,58.8,19.4,0
75,none,11.4,8.6,2.9,25.1,17,13.5,7.4,0
76,none,11.4,9.3,3.2,33.1,13.9,16.7,10.9,0
77,none,11.4,8,2.7,14.4,6.7,9.2,6,0
78,none,11.4,11.2,2.8,26.7,14.6,16.9,13.6,0
79,none,11.4,5.9,3.3,26.2,15.8,19.8,13.7,0
80,none,11.4,6.5,2.4,6.3,6.4,4.8,5.6,0
91,S.b. 134,0,7.7,2.6,34.2,15.5,18.6,11.9,29.2
92,S.b. 134,0,11.2,3.4,97.7,39.3,25.5,14.7,4.1
93,S.b. 134,0,11.1,3.6,28,35,11.5,13,17.3
94,S.b. 134,0,10.5,4.1,128.7,21,57.1,16.9,70
95,S.b. 134,0,8.1,4,54.9,26.3,18.2,13.5,32.5
96,S.b. 134,0,10,3.4,34,13.7,17.7,10.9,40.6
97,S.b. 134,0,12.4,2.8,45.1,13.1,23.2,11.9,49
98,S.b. 134,0,11.5,3.6,53.8,25.3,21.8,15.7,5
99,S.b. 134,0,7.2,3.1,54.7,13.2,25.6,12.4,48.3
100,S.b. 134,0,10.3,3.7,116.2,22.9,47,21.6,39
101,S.b. 134,11.4,9.3,4.2,105.2,46.5,30.2,20.1,23.2
102,S.b. 134,11.4,9.1,4.4,48,17.3,20.6,15.3,56
103,S.b. 134,11.4,13.2,2.9,46.2,29,15.1,11.1,33.3
104,S.b. 134,11.4,11.5,3,70.4,52,22.4,19.9,38.8
105,S.b. 134,11.4,11.5,3.5,55.4,41,22.7,18.3,52
106,S.b. 134,11.4,10.4,2.1,53.9,25.6,21.9,9.9,57
107,S.b. 134,11.4,11.1,3,65,38.5,15.9,15.3,47
108,S.b. 134,11.4,10.6,3.5,46,12.2,16.5,10.5,63
109,S.b. 134,11.4,10.6,2.6,33,17.4,17.4,12.8,38.1
110,S.b. 134,11.4,8.5,3.1,46,16.6,21.4,15.4,34.9
